denominacion;p1_1;p1_2;p1_3;p1_4;p1_5;p1_6;p1_7;p1_8;p1_9;p1_10;p2_1;p2_2;p2_3;p2_4;p2_5;p2_6;p2_7;p2_8;p2_9;p2_10;bloque
PSOE;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;I
PP;2;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;D
Cs;3;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;D
PODEMOS;4;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;I
VOX;5;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;D
ERC;6;0;0;0;0;0;0;0;0;0;6;0;0;0;0;0;0;0;0;0;I
ECP;7;0;0;0;0;0;0;0;0;0;7;0;0;0;0;0;0;0;0;0;I
JxCAT;8;0;0;0;0;0;0;0;0;0;8;0;0;0;0;0;0;0;0;0;D
EAJ_PNV;9;0;0;0;0;0;0;0;0;0;9;0;0;0;0;0;0;0;0;0;D
PACMA;10;0;0;0;0;0;0;0;0;0;13;0;0;0;0;0;0;0;0;0;I
EH_Bildu;11;0;0;0;0;0;0;0;0;0;11;0;0;0;0;0;0;0;0;0;I
PODEMOS_EU;12;25;0;0;0;0;0;0;0;0;14;0;0;0;0;0;0;0;0;0;I
COMPROMIS;13;0;0;0;0;0;0;0;0;0;15;0;0;0;0;0;0;0;0;0;I
CCA;14;20;0;0;0;0;0;0;0;0;16;0;0;0;0;0;0;0;0;0;D
NA+;16;0;0;0;0;0;0;0;0;0;18;0;0;0;0;0;0;0;0;0;D
BNG;17;0;0;0;0;0;0;0;0;0;17;0;0;0;0;0;0;0;0;0;I
PRC;18;0;0;0;0;0;0;0;0;0;19;0;0;0;0;0;0;0;0;0;D
RECORTES_CERO;19;0;0;0;0;0;0;0;0;0;21;0;0;0;0;0;0;0;0;0;I
MES_ESQUERRA;22;0;0;0;0;0;0;0;0;0;25;0;0;0;0;0;0;0;0;0;I
GBAI;23;0;0;0;0;0;0;0;0;0;29;0;0;0;0;0;0;0;0;0;I
PUM+J;24;0;0;0;0;0;0;0;0;0;22;0;0;0;0;0;0;0;0;0;I
PCTE;26;0;0;0;0;0;0;0;0;0;28;0;0;0;0;0;0;0;0;0;I
AXSI;28;0;0;0;0;0;0;0;0;0;26;0;0;0;0;0;0;0;0;0;I
PCOE;29;0;0;0;0;0;0;0;0;0;31;0;0;0;0;0;0;0;0;0;I
PCPE;30;0;0;0;0;0;0;0;0;0;27;0;0;0;0;0;0;0;0;0;I
AVANT-ADELA;31;0;0;0;0;0;0;0;0;0;36;0;0;0;0;0;0;0;0;0;I
EB;32;0;0;0;0;0;0;0;0;0;33;0;0;0;0;0;0;0;0;0;I
CpM;33;0;0;0;0;0;0;0;0;0;32;0;0;0;0;0;0;0;0;0;I
SOMOS-REGIO;34;0;0;0;0;0;0;0;0;0;41;0;0;0;0;0;0;0;0;0;I
PH;36;0;0;0;0;0;0;0;0;0;38;0;0;0;0;0;0;0;0;0;I
UIG_SOM_CUIDES;37;0;0;0;0;0;0;0;0;0;40;0;0;0;0;0;0;0;0;0;I
ERPV;38;0;0;0;0;0;0;0;0;0;34;0;0;0;0;0;0;0;0;0;I
IZQP;39;0;0;0;0;0;0;0;0;0;42;0;0;0;0;0;0;0;0;0;I
AHORA_CANARIAS;41;0;0;0;0;0;0;0;0;0;43;0;0;0;0;0;0;0;0;0;I
PPSO;43;0;0;0;0;0;0;0;0;0;46;0;0;0;0;0;0;0;0;0;I
PREPAL;45;0;0;0;0;0;0;0;0;0;52;0;0;0;0;0;0;0;0;0;I
P_LIB;48;0;0;0;0;0;0;0;0;0;49;0;0;0;0;0;0;0;0;0;I
PYLN;52;0;0;0;0;0;0;0;0;0;55;0;0;0;0;0;0;0;0;0;I
FIA;53;0;0;0;0;0;0;0;0;0;60;0;0;0;0;0;0;0;0;0;I
FE_JONS;54;0;0;0;0;0;0;0;0;0;53;0;0;0;0;0;0;0;0;0;D
DPL;57;0;0;0;0;0;0;0;0;0;64;0;0;0;0;0;0;0;0;0;
UNION-REGIO;58;0;0;0;0;0;0;0;0;0;58;0;0;0;0;0;0;0;0;0;I
CENTRADOS;59;0;0;0;0;0;0;0;0;0;63;0;0;0;0;0;0;0;0;0;
IZAR;63;0;0;0;0;0;0;0;0;0;65;0;0;0;0;0;0;0;0;0;I
RISA;64;0;0;0;0;0;0;0;0;0;62;0;0;0;0;0;0;0;0;0;I
C21;65;0;0;0;0;0;0;0;0;0;66;0;0;0;0;0;0;0;0;0;
UDT;67;0;0;0;0;0;0;0;0;0;67;0;0;0;0;0;0;0;0;0;
FEMINSTA;55;0;0;0;0;0;0;0;0;0;39;0;0;0;0;0;0;0;0;0;I
RESTO_I;15;27;35;40;42;44;46;47;49;51;10;12;20;23;24;30;37;44;45;47;I
RESTO_D;0;0;0;0;0;0;0;0;0;0;35;0;0;0;0;0;0;0;0;0;D
